Time Slot,Room,Class
7:30-8:30,IS101,VL -  22IS410 -  ISE-4A
7:30-8:30,IS102,SU -  22HU412 -  ISE-4B
7:30-8:30,IS103,KD -  20CB640 -  CSBS-6
7:30-8:30,ISLAB1,RMN+NoOne -  B1-22CB240L -  CSBS-2
7:30-8:30,ISLAB2,RJP+LMS -  22CB410L -  CSBS-4
8:30-9:30,IS101,AHK -  22MA412 -  ISE-4A
8:30-9:30,IS102,SP -  20CB630 -  CSBS-6
8:30-9:30,IS103,SG -  20IS642 -  ISE-6
8:30-9:30,ISLAB1,RMN+NoOne -  B1-22CB240L -  CSBS-2
8:30-9:30,ISLAB2,RJP+LMS -  22CB410L -  CSBS-4
9:30-10:30,IS101,RSA -  22IS430 -  ISE-4A
9:30-10:30,IS102,VHY -  20CB620 -  CSBS-6
9:30-10:30,IS103,PMKS -  22CB430 -  CSBS-4
9:30-10:30,ISLAB1,No class scheduled
9:30-10:30,ISLAB2,No class scheduled
10:30-11:00,IS101,None - None - None
10:30-11:00,IS102,None - None - None
10:30-11:00,IS103,None - None - None
10:30-11:00,ISLAB1,None - None - None
10:30-11:00,ISLAB2,None - None - None
11:00-11:50,IS101,TSK -  22IS420 -  ISE-4A
11:00-11:50,IS102,SG -  22CB450 -  CSBS-4
11:00-11:50,IS103,LMS -  22CB250 -  CSBS-2
11:00-11:50,ISLAB1,LMS+VA -  20IS67L -  ISE-6
11:00-11:50,ISLAB2,UKK+TM -  22CB610L -  CSBS-6
11:50-12:40,IS101,RSA -  22IS430 -  ISE-4A
11:50-12:40,IS102,PM -  22CB470 -  CSBS-4
11:50-12:40,IS103,RMN -  22CB240 -  CSBS-2
11:50-12:40,ISLAB1,LMS+VA -  20IS67L -  ISE-6
11:50-12:40,ISLAB2,UKK+TM -  22CB610L -  CSBS-6
12:40-13:30,IS101,MPS -  22IS450 -  ISE-4A
12:40-13:30,IS102,SP -  20CB630 -  CSBS-6
12:40-13:30,IS103,TSK -  22IS420 -  ISE-4B
12:40-13:30,ISLAB1,LMS+VA -  20IS67L -  ISE-6
12:40-13:30,ISLAB2,No class scheduled
13:30-14:30,IS101,None - None - None
13:30-14:30,IS102,None - None - None
13:30-14:30,IS103,None - None - None
13:30-14:30,ISLAB1,None - None - None
13:30-14:30,ISLAB2,None - None - None
14:30-15:30,IS101,TSK -  22IS420 -  ISE-4A
14:30-15:30,IS102,VBK -  20CB662 -  CSBS-6
14:30-15:30,IS103,MDL -  20HU612 -  ISE-6
14:30-15:30,ISLAB1,TM+MN -  B1-22CB230L -  CSBS-2
14:30-15:30,ISLAB2,SAS+RSA -  B1-22IS46L -  ISE-4B
15:30-16:30,IS101,TSK -  22IS420 -  ISE-4A
15:30-16:30,IS102,PM -  20CB650 -  CSBS-6
15:30-16:30,IS103,SG -  20IS642 -  ISE-6
15:30-16:30,ISLAB1,TM+MN -  B1-22CB230L -  CSBS-2
15:30-16:30,ISLAB2,SAS+RSA -  B1-22IS46L -  ISE-4B
16:30-17:30,IS101,RSA -  22IS430 -  ISE-4A
16:30-17:30,IS102,VBK -  20CB662 -  CSBS-6
16:30-17:30,IS103,RMN -  22CB240 -  CSBS-2
16:30-17:30,ISLAB1,No class scheduled
16:30-17:30,ISLAB2,No class scheduled
