Time Slot,Room,Class
7:30-8:30,IS101,VHY -  20CB620 -  CSBS-6
7:30-8:30,IS102,RJP -  22CB420 -  CSBS-4
7:30-8:30,IS103,No class scheduled
8:30-9:30,IS101,VBK -  20CB662 -  CSBS-6
8:30-9:30,IS102,VA -  22CB440 -  CSBS-4
8:30-9:30,IS103,No class scheduled
9:30-10:30,IS101,VBK -  22CB410 -  CSBS-4
9:30-10:30,IS102,UKK -  20CB610 -  CSBS-6
9:30-10:30,IS103,No class scheduled
11:00-11:50,IS101,VA -  22CB440 -  CSBS-4
11:00-11:50,IS102,SN -  20CB673 -  CSBS-6
11:00-11:50,IS103,No class scheduled
11:50-12:40,IS101,VBK -  22CB410 -  CSBS-4
11:50-12:40,IS102,SP -  20CB630 -  CSBS-6
11:50-12:40,IS103,No class scheduled
12:40-1:30,IS101,VA -  22CB440 -  CSBS-4
12:40-1:30,IS102,SN -  20CB673 -  CSBS-6
12:40-1:30,IS103,No class scheduled
2:30-3:30,IS101,SP -  20CB630 -  CSBS-6
2:30-3:30,IS102,No class scheduled
2:30-3:30,IS103,No class scheduled
3:30-4:30,IS101,SP -  20CB630 -  CSBS-6
3:30-4:30,IS102,No class scheduled
3:30-4:30,IS103,No class scheduled
4:30-5:30,IS101,SP -  20CB630 -  CSBS-6
4:30-5:30,IS102,No class scheduled
4:30-5:30,IS103,No class scheduled
