Time Slot,Room,Class
7:30-8:30,IS101,No class scheduled
7:30-8:30,IS002,SR - 20IS741 - B1-ISE-7 [PRE-ALLOTTED]
7:30-8:30,IS103,No class scheduled
7:30-8:30,IS001,SN - 20IS742 - B2-ISE-7 [PRE-ALLOTTED]
7:30-8:30,ISLAB1,No class scheduled
7:30-8:30,ISLAB2,No class scheduled
8:30-9:30,IS101,No class scheduled
8:30-9:30,IS002,SR - 20IS741 - B1-ISE-7 [PRE-ALLOTTED]
8:30-9:30,IS103,No class scheduled
8:30-9:30,IS001,SN - 20IS742 - B2-ISE-7 [PRE-ALLOTTED]
8:30-9:30,ISLAB1,No class scheduled
8:30-9:30,ISLAB2,No class scheduled
9:30-10:30,IS101,No class scheduled
9:30-10:30,IS002,MPS - 20IS731 - ISE-7
9:30-10:30,IS103,No class scheduled
9:30-10:30,IS001,No class scheduled
9:30-10:30,ISLAB1,No class scheduled
9:30-10:30,ISLAB2,No class scheduled
10:30-11:00,IS101,BREAK
10:30-11:00,IS002,BREAK
10:30-11:00,IS103,BREAK
10:30-11:00,IS001,BREAK
10:30-11:00,ISLAB1,BREAK
10:30-11:00,ISLAB2,BREAK
11:00-11:50,IS101,No class scheduled
11:00-11:50,IS002,PMKS - 20IS753 - ISE-7 [PRE-ALLOTTED]
11:00-11:50,IS103,No class scheduled
11:00-11:50,IS001,No class scheduled
11:00-11:50,ISLAB1,No class scheduled
11:00-11:50,ISLAB2,No class scheduled
11:50-12:40,IS101,No class scheduled
11:50-12:40,IS002,MPS - 20IS731 - ISE-7
11:50-12:40,IS103,No class scheduled
11:50-12:40,IS001,No class scheduled
11:50-12:40,ISLAB1,No class scheduled
11:50-12:40,ISLAB2,No class scheduled
12:40-13:30,IS101,No class scheduled
12:40-13:30,IS002,BSM - 20IS710 - ISE-7
12:40-13:30,IS103,No class scheduled
12:40-13:30,IS001,No class scheduled
12:40-13:30,ISLAB1,No class scheduled
12:40-13:30,ISLAB2,No class scheduled
13:30-14:30,IS101,BREAK
13:30-14:30,IS002,BREAK
13:30-14:30,IS103,BREAK
13:30-14:30,IS001,BREAK
13:30-14:30,ISLAB1,BREAK
13:30-14:30,ISLAB2,BREAK
14:30-15:30,IS101,No class scheduled
14:30-15:30,IS002,FELIX - 20CB710 - CSBS-7 [PRE-ALLOTTED]
14:30-15:30,IS103,VK - 22IS552 - B2_ISE-5 [PRE-ALLOTTED]
14:30-15:30,IS001,TM - 22IS551 - B1-ISE-5 [PRE-ALLOTTED]
14:30-15:30,ISLAB1,No class scheduled
14:30-15:30,ISLAB2,No class scheduled
15:30-16:30,IS101,No class scheduled
15:30-16:30,IS002,FELIX - 20CB730 - CSBS-7 [PRE-ALLOTTED]
15:30-16:30,IS103,No class scheduled
15:30-16:30,IS001,No class scheduled
15:30-16:30,ISLAB1,No class scheduled
15:30-16:30,ISLAB2,No class scheduled
16:30-17:30,IS101,No class scheduled
16:30-17:30,IS002,SG - 20CB710 - CSBS-7
16:30-17:30,IS103,No class scheduled
16:30-17:30,IS001,No class scheduled
16:30-17:30,ISLAB1,No class scheduled
16:30-17:30,ISLAB2,No class scheduled
