Time Slot,Room,Class
7:30-8:30,IS101,UKK - 22IS520 - ISE-5A
7:30-8:30,IS002,BSM - 20IS710 - ISE-7
7:30-8:30,IS103,No class scheduled
7:30-8:30,IS001,No class scheduled
7:30-8:30,ISLAB1,VBK + NA - B2-20CB76L - CSBS-7
7:30-8:30,ISLAB2,No class scheduled
8:30-9:30,IS101,VHY - 22IS510 - ISE-5A
8:30-9:30,IS002,MPS - 20IS731 - ISE-7
8:30-9:30,IS103,No class scheduled
8:30-9:30,IS001,No class scheduled
8:30-9:30,ISLAB1,VBK + NA - B2-20CB76L - CSBS-7
8:30-9:30,ISLAB2,No class scheduled
9:30-10:30,IS101,UKK - 22IS520 - ISE-5A
9:30-10:30,IS002,BSM - 20IS710 - ISE-7
9:30-10:30,IS103,No class scheduled
9:30-10:30,IS001,No class scheduled
9:30-10:30,ISLAB1,No class scheduled
9:30-10:30,ISLAB2,No class scheduled
10:30-11:00,IS101,BREAK
10:30-11:00,IS002,BREAK
10:30-11:00,IS103,BREAK
10:30-11:00,IS001,BREAK
10:30-11:00,ISLAB1,BREAK
10:30-11:00,ISLAB2,BREAK
11:00-11:50,IS101,VA - 20CB752 - CSBS-7
11:00-11:50,IS002,LMS - 22IS562 - B1-ISE-5 [PRE-ALLOTTED]
11:00-11:50,IS103,No class scheduled
11:00-11:50,IS001,TSK - 22IS563 - B2-ISE-5 [PRE-ALLOTTED]
11:00-11:50,ISLAB1,PSJ + SN - B2-22IS58L - ISE-5A
11:00-11:50,ISLAB2,No class scheduled
11:50-12:40,IS101,VA - 20CB752 - CSBS-7
11:50-12:40,IS002,BSM - 20IS710 - ISE-7
11:50-12:40,IS103,No class scheduled
11:50-12:40,IS001,No class scheduled
11:50-12:40,ISLAB1,PSJ + SN - B2-22IS58L - ISE-5A
11:50-12:40,ISLAB2,No class scheduled
12:40-13:30,IS101,SG - 20CB710 - CSBS-7
12:40-13:30,IS002,No class scheduled
12:40-13:30,IS103,No class scheduled
12:40-13:30,IS001,No class scheduled
12:40-13:30,ISLAB1,PSJ + SN - B2-22IS58L - ISE-5A
12:40-13:30,ISLAB2,No class scheduled
13:30-14:30,IS101,BREAK
13:30-14:30,IS002,BREAK
13:30-14:30,IS103,BREAK
13:30-14:30,IS001,BREAK
13:30-14:30,ISLAB1,BREAK
13:30-14:30,ISLAB2,BREAK
14:30-15:30,IS101,SG - 20CB710 - CSBS-7
14:30-15:30,IS002,No class scheduled
14:30-15:30,IS103,No class scheduled
14:30-15:30,IS001,No class scheduled
14:30-15:30,ISLAB1,No class scheduled
14:30-15:30,ISLAB2,No class scheduled
15:30-16:30,IS101,SP - 20CB742 - CSBS-7
15:30-16:30,IS002,No class scheduled
15:30-16:30,IS103,No class scheduled
15:30-16:30,IS001,No class scheduled
15:30-16:30,ISLAB1,No class scheduled
15:30-16:30,ISLAB2,No class scheduled
16:30-17:30,IS101,No class scheduled
16:30-17:30,IS002,No class scheduled
16:30-17:30,IS103,No class scheduled
16:30-17:30,IS001,No class scheduled
16:30-17:30,ISLAB1,No class scheduled
16:30-17:30,ISLAB2,No class scheduled
